"№";"Изображение";"Имя";"Номер заказа";"Категория";"Базовая цена";"Итоговая Цена";"Количество";"Статус";
"709";"http://citymotors.com.ua/img/p/1/5/6/8/1568.jpg";"Techline 509S W6 PCD4x100 ET45 DIA54.1";"TL509SW6PCD4x100ET45DIA54.1";"Диски";"63.501438";"76.2";"12";"1";
"885";"http://citymotors.com.ua/img/p/1/7/4/4/1744.jpg";"Techline 727BD W7.5 PCD5x114.3 ET45 DIA67.1";"TL727BDW7.5PCD5x114.3ET45DIA67.1";"Диски";"94.839810";"113.8";"12";"1";
"84";"http://citymotors.com.ua/img/p/1/6/9/169.jpg";"БОЛТ M12X1,5X28 ХРОМ КОНУС КЛЮЧ 17 ММ";"175110 Cr";"Гайки и болты";"0.800000";"0.8";"68";"1";
"260";"http://citymotors.com.ua/img/p/5/1/4/514.jpg";"Болты секретные M12X1,5X33 Тройной никель/хром кл.17-19мм";"675130F2";"Секретки на колеса";"27.560000";"27.56";"1";"1";
"438";"http://citymotors.com.ua/img/p/9/0/7/907.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 76,0-65,1";"HCR760-651";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"616";"http://citymotors.com.ua/img/p/1/4/5/5/1455.jpg";"Колпачки заглушки для литых дисков 65мм";"65";"Колпачки для литых дисков";"2.900000";"2.9";"10";"1";
"829";"http://citymotors.com.ua/img/p/1/6/8/8/1688.jpg";"Techline 646S W6.5 PCD5x108 ET50 DIA63.4";"TL646SW6.5PCD5x108ET50DIA63.4";"Диски";"69.862553";"83.83";"12";"1";
"24";"http://citymotors.com.ua/img/p/5/5/55.jpg";"БОЛТ M14X1,5X33 ЦИНК КОНУС КЛЮЧ 17 ММ";"074130 Z";"Гайки и болты";"1.200000";"1.2";"100";"1";
"204";"http://citymotors.com.ua/img/p/3/9/8/398.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 73,1-60,1";"HCR731-601";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"381";"http://citymotors.com.ua/img/p/7/9/5/795.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 71,6-66,6";"HCR716-666";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"559";"http://citymotors.com.ua/img/p/1/3/1/3/1313.jpg";"Колпачки для колесных гаек и болтов зеленые 21";"HEX21(Green)";"Колпачки на колесные гайки/болты";"14.000000";"14";"10";"1";
"773";"http://citymotors.com.ua/img/p/1/6/3/2/1632.jpg";"Techline 537S W6 PCD5x112 ET45 DIA57.1";"TL537SW6PCD5x112ET45DIA57.1";"Диски";"59.856518";"71.82";"12";"1";
"148";"http://citymotors.com.ua/img/p/2/8/6/286.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 65,1-58,6";"HCR651-586";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"324";"http://citymotors.com.ua/img/p/6/7/2/672.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 64,1-58,6";"HCR641-586";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"503";"http://citymotors.com.ua/img/p/1/1/6/4/1164.jpg";"Проставка колесная 5мм 4х98 58.6 ";"5SP498 58.6 ";"Проставки";"10.400000";"10.4";"20";"1";
"717";"http://citymotors.com.ua/img/p/1/5/7/6/1576.jpg";"Techline 511BD W6 PCD5x108 ET52 DIA63.4";"TL511BDW6PCD5x108ET52DIA63.4";"Диски";"61.439703";"73.72";"12";"1";
"893";"http://citymotors.com.ua/img/p/1/7/5/2/1752.jpg";"Techline 806BD W7.5 PCD5x112 ET45 DIA66.6";"TL806BDW7.5PCD5x112ET45DIA66.6";"Диски";"104.323791";"125.18";"12";"1";
"92";"http://citymotors.com.ua/img/p/1/8/6/186.jpg";"БОЛТ M12X1,75X35 ХРОМ КОНУС КЛЮЧ 19 ММ";"1976138 Cr";"Гайки и болты";"35.000000";"35";"100";"0";
"268";"http://citymotors.com.ua/img/p/5/3/0/530.jpg";"Гайки секретные M12X1,25X30 Конус Тройной никель/хром кл.17-19мм";"206444F2 ";"Секретки на колеса";"20.000000";"20";"1";"1";
"447";"http://citymotors.com.ua/img/p/1/7/6/5/1765.jpg";"Болты секретные M12X1,25X28 Хром Конус Вр.кольцо кл.17-19мм";"372110Х";"Секретки на колеса";"14.000000";"14";"10";"1";
"837";"http://citymotors.com.ua/img/p/1/6/9/6/1696.jpg";"Techline 650GRD W6.5 PCD5x114.3 ET46 DIA671";"TL650GRDW6.5PCD5x114.3ET46DIA671";"Диски";"74.562930";"89.47";"12";"1";
